Year,1,2,3,4,5,6,7,8,9,10,11,12
1989,11779,13054,14585,15105,21183 ,18871,16796,14831,15751,16257,14692,15839
1990,12190,12719,13378,15815,19063 ,16592,15256,14318,16451,16376,15229,16240
1991,12996,12910,12915,15527,18284 ,15911,15160,13609,15423,17995,15831,13996
1992,12683,13123,13504,17181,19061 ,20249,17638,14152,16257,16151,15071,15126
1993,11543,12751,15308,16531,19979 ,15681,15266,12157,14863,15459,15494,14814
1994,11904,12786,13768,14996,19705 ,15106,12999,13351,14097,14062,13462,13776
1995,11040,11049,12869,14383,19387 ,15920,14260,12845,16333,14429,14175,13651
1996,10635,10781,12644,15710,17679 ,16066,14790,12883,13849,14875,12898,12942
1997,11080,11300,12527,16525,18745 ,15013,13391,13195,15644,12803,12045,13435
1998,11161,11301,11873,14689,16823 ,13842,13103,12223,14304,16206,13489,13596
1999,10402,11764,12244,14651,15270 ,14946,13815,12371,13599,13369,12513,12942
2000,9950,11707,12070,14245,17788 ,16446,14433,14675,14689,12220,12598,12504
2001,10238,10070,11246,14375,16335 ,14461,11665,13343,14066,12419,11505,11472
2002,9339,9718,11810,16311,16703 ,13153,12597,13279,13031,11969,10657,9976
2003,8838,10140,10600,13220,14231 ,11350,11080,10171,11192,10812,8602,10513
2004,8422,9156,11289,14228,13258 ,11249,10777,11080,10623,11608,9714,10276
2005,8661,9188,10182,12740,13725 ,11823,11047,10348,10366,10545,10122,10523
2006,8195,8664,9861,11853,15212 ,12419,10116,10230,11350,10312,10065,10313
2007,8524,8589,11679,15228,15768 ,10662,9890,10332,10910,12137,10518,10009
2008,8203,10167,10940,14174,15162 ,11235,10122,11236,11478,11484,9729,10509
2009,9596,9457,11059,13446,12412 ,10942,8902,9179,9216,9959,9472,10201
2010,8145,8051,9818,12118,12218 ,10878,9253,9923,9838,9618,10096,8681
2011,7530,8437,10865,12027,14244 ,11472,8728,9792,10821,10581,9530,9921
